NumberShares,EntryDate,EntryPrice,ExpiryDate,ExitPrice,SpotPrice_Close,Strike,Premium,Outcome,PnL_Call,PnL_Stock,PnL_Realized,PnL_Unrealized,PnL_Total,PnL_Percent,PnL_Call_Position,PnL_Stock_Position,PnL_Realized_Position,PnL_Unrealized_Position,PnL_Total_position,Ticker
109.4792078,17/06/2015,91.3415451,17/07/2015,89.10751343,89.10751343,93.16837601,0,Not Called,0,-2.234031677,0,-2.234031677,-2.234031677,-0.000223403,0,-244.5800183,0,-244.5800183,-244.5800183,WYNN
150.6024062,17/06/2015,66.40000153,17/07/2015,63.25,63.25,67.72800156,0,Not Called,0,-3.150001526,0,-3.150001526,-3.150001526,-0.000315,0,-474.3978093,0,-474.3978093,-474.3978093,IDXX
1104.972352,17/06/2015,9.050000191,17/07/2015,6.449999809,6.449999809,9.231000195,0,Not Called,0,-2.600000381,0,-2.600000381,-2.600000381,-0.00026,0,-2872.928538,0,-2872.928538,-2872.928538,ENPH
53.63177794,17/06/2015,186.4566193,17/07/2015,174.2289581,174.2289581,190.1857516,0,Not Called,0,-12.22766113,0,-12.22766113,-12.22766113,-0.001222766,0,-655.7912066,0,-655.7912066,-655.7912066,HUM
362.8447095,17/06/2015,27.55999947,17/07/2015,28.11119946,31.13999939,28.11119946,0,Called,0,0.551199989,0.551199989,0,0.551199989,5.51E-05,0,200,200,0,200,TTWO
112.2239822,17/07/2015,89.10751343,17/08/2015,80.92357635,80.92357635,90.8896637,0,Not Called,0,-8.183937073,0,-8.183937073,-8.183937073,-0.000818394,0,-918.4340083,0,-918.4340083,-918.4340083,WYNN
158.1027668,17/07/2015,63.25,17/08/2015,64.515,78.66000366,64.515,0,Called,0,1.265,1.265,0,1.265,0.0001265,0,200,200,0,200,IDXX
1550.387643,17/07/2015,6.449999809,17/08/2015,5.599999905,5.599999905,6.578999805,0,Not Called,0,-0.849999905,0,-0.849999905,-0.849999905,-8.50E-05,0,-1317.829348,0,-1317.829348,-1317.829348,ENPH
57.39574011,17/07/2015,174.2289581,17/08/2015,176.3760834,176.3760834,177.7135373,0,Not Called,0,2.147125244,0,2.147125244,2.147125244,0.000214713,0,123.2358425,0,123.2358425,123.2358425,HUM
508.3950127,17/07/2015,19.66974449,17/08/2015,16.83464622,16.83464622,20.06313938,0,Not Called,0,-2.835098267,0,-2.835098267,-2.835098267,-0.00028351,0,-1441.349819,0,-1441.349819,-1441.349819,MU
123.5733818,17/08/2015,80.92357635,16/09/2015,64.96072388,64.96072388,82.54204788,0,Not Called,0,-15.96285248,0,-15.96285248,-15.96285248,-0.001596285,0,-1972.583664,0,-1972.583664,-1972.583664,WYNN
1785.714316,17/08/2015,5.599999905,16/09/2015,4.630000114,4.630000114,5.711999903,0,Not Called,0,-0.96999979,0,-0.96999979,-0.96999979,-9.70E-05,0,-1732.142512,0,-1732.142512,-1732.142512,ENPH
56.69702949,17/08/2015,176.3760834,16/09/2015,174.396286,174.396286,179.903605,0,Not Called,0,-1.979797363,0,-1.979797363,-1.979797363,-0.00019798,0,-112.2486295,0,-112.2486295,-112.2486295,HUM
594.0130767,17/08/2015,16.83464622,16/09/2015,16.30673027,16.30673027,17.17133915,0,Not Called,0,-0.527915955,0,-0.527915955,-0.527915955,-5.28E-05,0,-313.5889804,0,-313.5889804,-313.5889804,MU
5555.555703,17/08/2015,1.799999952,16/09/2015,1.835999951,1.889999986,1.835999951,0,Called,0,0.035999999,0.035999999,0,0.035999999,3.60E-06,0,200,200,0,200,AMD
153.9391713,16/09/2015,64.96072388,15/10/2015,64.94313812,64.94313812,66.25993835,0,Not Called,0,-0.017585754,0,-0.017585754,-0.017585754,-1.76E-06,0,-2.707136458,0,-2.707136458,-2.707136458,WYNN
2159.82716,16/09/2015,4.630000114,15/10/2015,4.722600117,5.210000038,4.722600117,0,Called,0,0.092600002,0.092600002,0,0.092600002,9.26E-06,0,200,200,0,200,ENPH
57.34067066,16/09/2015,174.396286,15/10/2015,170.6073761,170.6073761,177.8842117,0,Not Called,0,-3.788909912,0,-3.788909912,-3.788909912,-0.000378891,0,-217.2586354,0,-217.2586354,-217.2586354,HUM
613.2437242,16/09/2015,16.30673027,15/10/2015,16.63286488,18.24241829,16.63286488,0,Called,0,0.326134605,0.326134605,0,0.326134605,3.26E-05,0,200,200,0,200,MU
928.3394269,16/09/2015,10.77192211,15/10/2015,10.98736055,11.87315941,10.98736055,0,Called,0,0.215438442,0.215438442,0,0.215438442,2.15E-05,0,200,200,0,200,FCX
153.980856,15/10/2015,64.94313812,13/11/2015,55.13755035,55.13755035,66.24200089,0,Not Called,0,-9.805587769,0,-9.805587769,-9.805587769,-0.000980559,0,-1509.872798,0,-1509.872798,-1509.872798,WYNN
58.61411288,15/10/2015,170.6073761,13/11/2015,155.8136292,155.8136292,174.0195236,0,Not Called,0,-14.79374695,0,-14.79374695,-14.79374695,-0.001479375,0,-867.1223535,0,-867.1223535,-867.1223535,HUM
88.87309188,15/10/2015,112.5199966,13/11/2015,107.3600006,107.3600006,114.7703966,0,Not Called,0,-5.159996033,0,-5.159996033,-5.159996033,-0.000516,0,-458.5848015,0,-458.5848015,-458.5848015,INCY
842.2358073,15/10/2015,11.87315941,13/11/2015,7.92761755,7.92761755,12.1106226,0,Not Called,0,-3.945541859,0,-3.945541859,-3.945541859,-0.000394554,0,-3323.076633,0,-3323.076633,-3323.076633,FCX
474.2145907,15/10/2015,21.08749962,13/11/2015,21.10499954,21.10499954,21.50924961,0,Not Called,0,0.017499924,0,0.017499924,0.017499924,1.75E-06,0,8.298719157,0,8.298719157,8.298719157,DXCM
181.3646043,13/11/2015,55.13755035,15/12/2015,56.24030136,58.54155731,56.24030136,0,Called,0,1.102751007,1.102751007,0,1.102751007,0.000110275,0,200,200,0,200,WYNN
64.17923807,13/11/2015,155.8136292,15/12/2015,158.9299017,163.5409851,158.9299017,0,Called,0,3.116272583,3.116272583,0,3.116272583,0.000311627,0,200,200,0,200,HUM
93.14455983,13/11/2015,107.3600006,15/12/2015,109.5072006,114.7300034,109.5072006,0,Called,0,2.147200012,2.147200012,0,2.147200012,0.00021472,0,200,200,0,200,INCY
1261.413021,13/11/2015,7.92761755,15/12/2015,5.954845428,5.954845428,8.086169901,0,Not Called,0,-1.972772121,0,-1.972772121,-1.972772121,-0.000197277,0,-2488.480441,0,-2488.480441,-2488.480441,FCX
473.8213796,13/11/2015,21.10499954,15/12/2015,19.79500008,19.79500008,21.52709953,0,Not Called,0,-1.309999466,0,-1.309999466,-1.309999466,-0.000131,0,-620.7057543,0,-620.7057543,-620.7057543,DXCM
1679.304714,15/12/2015,5.954845428,15/01/2016,3.972942591,3.972942591,6.073942337,0,Not Called,0,-1.981902838,0,-1.981902838,-1.981902838,-0.00019819,0,-3328.218778,0,-3328.218778,-3328.218778,FCX
505.1780733,15/12/2015,19.79500008,15/01/2016,17.55999947,17.55999947,20.19090008,0,Not Called,0,-2.23500061,0,-2.23500061,-2.23500061,-0.0002235,0,-1129.073302,0,-1129.073302,-1129.073302,DXCM
4149.377446,15/12/2015,2.410000086,15/01/2016,2.190000057,2.190000057,2.458200088,0,Not Called,0,-0.220000029,0,-0.220000029,-0.220000029,-2.20E-05,0,-912.8631567,0,-912.8631567,-912.8631567,ENPH
566.5416997,15/12/2015,17.65095139,15/01/2016,10.6468029,10.6468029,18.00397041,0,Not Called,0,-7.004148483,0,-7.004148483,-7.004148483,-0.000700415,0,-3968.142187,0,-3968.142187,-3968.142187,TRGP
1325.696141,15/12/2015,7.543206692,15/01/2016,7.694070826,8.217869759,7.694070826,0,Called,0,0.150864134,0.150864134,0,0.150864134,1.51E-05,0,200,200,0,200,NRG
2517.026051,15/01/2016,3.972942591,17/02/2016,4.052401443,6.53937149,4.052401443,0,Called,0,0.079458852,0.079458852,0,0.079458852,7.95E-06,0,200,200,0,200,FCX
569.4760993,15/01/2016,17.55999947,17/02/2016,15.45499992,15.45499992,17.91119946,0,Not Called,0,-2.104999542,0,-2.104999542,-2.104999542,-0.0002105,0,-1198.746928,0,-1198.746928,-1198.746928,DXCM
4566.209926,15/01/2016,2.190000057,17/02/2016,2.233800058,2.24000001,2.233800058,0,Called,0,0.043800001,0.043800001,0,0.043800001,4.38E-06,0,200,200,0,200,ENPH
939.2490959,15/01/2016,10.6468029,17/02/2016,10.85973896,13.37948227,10.85973896,0,Called,0,0.212936058,0.212936058,0,0.212936058,2.13E-05,0,200,200,0,200,TRGP
1060.725658,15/01/2016,9.427508354,17/02/2016,9.187429428,9.187429428,9.616058521,0,Not Called,0,-0.240078926,0,-0.240078926,-0.240078926,-2.40E-05,0,-254.6578768,0,-254.6578768,-254.6578768,WMB
647.0397961,17/02/2016,15.45499992,17/03/2016,14.85000038,14.85000038,15.76409992,0,Not Called,0,-0.604999542,0,-0.604999542,-0.604999542,-6.05E-05,0,-391.4587805,0,-391.4587805,-391.4587805,DXCM
1088.443735,17/02/2016,9.187429428,17/03/2016,9.371178017,10.78381443,9.371178017,0,Called,0,0.183748589,0.183748589,0,0.183748589,1.84E-05,0,200,200,0,200,WMB
747.4130761,17/02/2016,13.37948227,17/03/2016,13.64707191,19.64360237,13.64707191,0,Called,0,0.267589645,0.267589645,0,0.267589645,2.68E-05,0,200,200,0,200,TRGP
1529.198947,17/02/2016,6.53937149,17/03/2016,6.67015892,9.955187798,6.67015892,0,Called,0,0.13078743,0.13078743,0,0.13078743,1.31E-05,0,200,200,0,200,FCX
924.5580078,17/02/2016,10.815979,17/03/2016,11.03229858,11.86106014,11.03229858,0,Called,0,0.21631958,0.21631958,0,0.21631958,2.16E-05,0,200,200,0,200,KMI
673.4006561,17/03/2016,14.85000038,18/04/2016,15.14700039,16.91500092,15.14700039,0,Called,0,0.297000008,0.297000008,0,0.297000008,2.97E-05,0,200,200,0,200,DXCM
927.3156604,17/03/2016,10.78381443,18/04/2016,10.12804508,10.12804508,10.99949072,0,Not Called,0,-0.655769348,0,-0.655769348,-0.655769348,-6.56E-05,0,-608.1051861,0,-608.1051861,-608.1051861,WMB
3703.703638,17/03/2016,2.700000048,18/04/2016,2.630000114,2.630000114,2.754000049,0,Not Called,0,-0.069999933,0,-0.069999933,-0.069999933,-7.00E-06,0,-259.2590074,0,-259.2590074,-259.2590074,ENPH
509.0715955,17/03/2016,19.64360237,18/04/2016,20.03647442,21.76196098,20.03647442,0,Called,0,0.392872047,0.392872047,0,0.392872047,3.93E-05,0,200,200,0,200,TRGP
1004.501392,17/03/2016,9.955187798,18/04/2016,10.06478691,10.06478691,10.15429155,0,Not Called,0,0.109599113,0,0.109599113,0.109599113,1.10E-05,0,110.092462,0,110.092462,110.092462,FCX
987.3573744,18/04/2016,10.12804508,17/05/2016,10.33060598,13.06080341,10.33060598,0,Called,0,0.202560902,0.202560902,0,0.202560902,2.03E-05,0,200,200,0,200,WMB
3802.281203,18/04/2016,2.630000114,17/05/2016,1.789999962,1.789999962,2.682600117,0,Not Called,0,-0.840000153,0,-0.840000153,-0.840000153,-8.40E-05,0,-3193.916791,0,-3193.916791,-3193.916791,ENPH
993.5630122,18/04/2016,10.06478691,17/05/2016,10.26608265,10.51231384,10.26608265,0,Called,0,0.201295738,0.201295738,0,0.201295738,2.01E-05,0,200,200,0,200,FCX
599.0315644,18/04/2016,16.69361115,17/05/2016,13.13113022,13.13113022,17.02748337,0,Not Called,0,-3.562480927,0,-3.562480927,-3.562480927,-0.000356248,0,-2134.038523,0,-2134.038523,-2134.038523,STX
435.7358082,18/04/2016,22.94968605,17/05/2016,23.40867977,24.83586884,23.40867977,0,Called,0,0.458993721,0.458993721,0,0.458993721,4.59E-05,0,200,200,0,200,DVN
5586.592298,17/05/2016,1.789999962,16/06/2016,1.825799961,2.00999999,1.825799961,0,Called,0,0.035799999,0.035799999,0,0.035799999,3.58E-06,0,200,200,0,200,ENPH
761.5490695,17/05/2016,13.13113022,16/06/2016,13.39375282,15.17033768,13.39375282,0,Called,0,0.262622604,0.262622604,0,0.262622604,2.63E-05,0,200,200,0,200,STX
2638.522454,17/05/2016,3.789999962,16/06/2016,3.865799961,4.75,3.865799961,0,Called,0,0.075799999,0.075799999,0,0.075799999,7.58E-06,0,200,200,0,200,AMD
951.2653589,17/05/2016,10.51231384,16/06/2016,9.845586777,9.845586777,10.72256012,0,Not Called,0,-0.666727066,0,-0.666727066,-0.666727066,-6.67E-05,0,-634.2343617,0,-634.2343617,-634.2343617,FCX
217.1552696,17/05/2016,46.04999924,16/06/2016,46.97099922,50.86999893,46.97099922,0,Called,0,0.920999985,0.920999985,0,0.920999985,9.21E-05,0,200,200,0,200,MOH
1015.683496,16/06/2016,9.845586777,18/07/2016,10.04249851,12.00102806,10.04249851,0,Called,0,0.196911736,0.196911736,0,0.196911736,1.97E-05,0,200,200,0,200,FCX
4975.124402,16/06/2016,2.00999999,18/07/2016,1.889999986,1.889999986,2.05019999,0,Not Called,0,-0.120000005,0,-0.120000005,-0.120000005,-1.20E-05,0,-597.0149519,0,-597.0149519,-597.0149519,ENPH
176.6160401,16/06/2016,56.61999893,18/07/2016,50.50999832,50.50999832,57.75239891,0,Not Called,0,-6.11000061,0,-6.11000061,-6.11000061,-0.000611,0,-1079.124113,0,-1079.124113,-1079.124113,ZBRA
713.5892387,16/06/2016,14.01366425,18/07/2016,14.29393753,15.45265102,14.29393753,0,Called,0,0.280273285,0.280273285,0,0.280273285,2.80E-05,0,200,200,0,200,MTCH
463.773326,16/06/2016,21.56225777,18/07/2016,21.64041519,21.64041519,21.99350292,0,Not Called,0,0.078157425,0,0.078157425,0.078157425,7.82E-06,0,36.24732891,0,36.24732891,36.24732891,CF
5291.005331,18/07/2016,1.889999986,16/08/2016,1.820000052,1.820000052,1.927799985,0,Not Called,0,-0.069999933,0,-0.069999933,-0.069999933,-7.00E-06,0,-370.37002,0,-370.37002,-370.37002,ENPH
197.9806045,18/07/2016,50.50999832,16/08/2016,51.52019829,70.19000244,51.52019829,0,Called,0,1.010199966,1.010199966,0,1.010199966,0.00010102,0,200,200,0,200,ZBRA
462.0983429,18/07/2016,21.64041519,16/08/2016,18.38709831,18.38709831,22.0732235,0,Not Called,0,-3.253316879,0,-3.253316879,-3.253316879,-0.000325332,0,-1503.352339,0,-1503.352339,-1503.352339,CF
145.3605334,18/07/2016,68.79446411,16/08/2016,68.59049988,68.59049988,70.17035339,0,Not Called,0,-0.203964233,0,-0.203964233,-0.203964233,-2.04E-05,0,-29.64834977,0,-29.64834977,-29.64834977,DHR
496.0803269,18/07/2016,20.15802574,16/08/2016,20.56118626,21.70247459,20.56118626,0,Called,0,0.403160515,0.403160515,0,0.403160515,4.03E-05,0,200,200,0,200,STX
5494.505336,16/08/2016,1.820000052,15/09/2016,1.669999957,1.669999957,1.856400054,0,Not Called,0,-0.150000095,0,-0.150000095,-0.150000095,-1.50E-05,0,-824.1763244,0,-824.1763244,-824.1763244,ENPH
543.8596036,16/08/2016,18.38709831,15/09/2016,18.75484028,19.09246826,18.75484028,0,Called,0,0.367741966,0.367741966,0,0.367741966,3.68E-05,0,200,200,0,200,CF
145.792785,16/08/2016,68.59049988,15/09/2016,65.27571869,65.27571869,69.96230988,0,Not Called,0,-3.314781189,0,-3.314781189,-3.314781189,-0.000331478,0,-483.2711811,0,-483.2711811,-483.2711811,DHR
4627.487246,16/08/2016,2.161000013,15/09/2016,2.193000078,2.193000078,2.204220014,0,Not Called,0,0.032000065,0,0.032000065,0.032000065,3.20E-06,0,148.079892,0,148.079892,148.079892,SMCI
460.7769477,16/08/2016,21.70247459,15/09/2016,22.13652409,24.37015915,22.13652409,0,Called,0,0.434049492,0.434049492,0,0.434049492,4.34E-05,0,200,200,0,200,STX
5988.024106,15/09/2016,1.669999957,14/10/2016,1.139999986,1.139999986,1.703399956,0,Not Called,0,-0.529999971,0,-0.529999971,-0.529999971,-5.30E-05,0,-3173.652605,0,-3173.652605,-3173.652605,ENPH
153.1963217,15/09/2016,65.27571869,14/10/2016,64.83615112,64.83615112,66.58123306,0,Not Called,0,-0.439567566,0,-0.439567566,-0.439567566,-4.40E-05,0,-67.34013424,0,-67.34013424,-67.34013424,DHR
4559.963358,15/09/2016,2.193000078,14/10/2016,2.137000084,2.137000084,2.23686008,0,Not Called,0,-0.055999994,0,-0.055999994,-0.055999994,-5.60E-06,0,-255.3579219,0,-255.3579219,-255.3579219,SMCI
156.0473652,15/09/2016,64.08310699,14/10/2016,65.36476913,81.52415466,65.36476913,0,Called,0,1.28166214,1.28166214,0,1.28166214,0.000128166,0,200,200,0,200,TPL
523.7667473,15/09/2016,19.09246826,14/10/2016,17.65795898,17.65795898,19.47431763,0,Not Called,0,-1.434509277,0,-1.434509277,-1.434509277,-0.000143451,0,-751.3482582,0,-751.3482582,-751.3482582,CF
8771.929935,14/10/2016,1.139999986,14/11/2016,1.139999986,1.139999986,1.162799985,0,Not Called,0,0,0,0,0,0,0,0,0,0,0,ENPH
154.2349419,14/10/2016,64.83615112,14/11/2016,66.13287415,67.33900452,66.13287415,0,Called,0,1.296723022,1.296723022,0,1.296723022,0.000129672,0,200,200,0,200,DHR
4679.456999,14/10/2016,2.137000084,14/11/2016,2.179740086,2.569999933,2.179740086,0,Called,0,0.042740002,0.042740002,0,0.042740002,4.27E-06,0,200,200,0,200,SMCI
566.3168665,14/10/2016,17.65795898,14/11/2016,18.01111816,22.60594177,18.01111816,0,Called,0,0.35315918,0.35315918,0,0.35315918,3.53E-05,0,200,200,0,200,CF
122.6630321,14/10/2016,81.52415466,14/11/2016,83.15463776,83.4821701,83.15463776,0,Called,0,1.630483093,1.630483093,0,1.630483093,0.000163048,0,200,200,0,200,TPL
8771.929935,14/11/2016,1.139999986,14/12/2016,1.162799985,1.200000048,1.162799985,0,Called,0,0.0228,0.0228,0,0.0228,2.28E-06,0,200,200,0,200,ENPH
74.63421706,14/11/2016,133.9868011,14/12/2016,133.9504852,133.9504852,136.6665372,0,Not Called,0,-0.036315918,0,-0.036315918,-0.036315918,-3.63E-06,0,-2.710410104,0,-2.710410104,-2.710410104,MCK
4861.208306,14/11/2016,2.057101727,14/12/2016,2.098243761,2.375711918,2.098243761,0,Called,0,0.041142035,0.041142035,0,0.041142035,4.11E-06,0,200,200,0,200,NVDA
387.8223796,14/11/2016,25.78499985,14/12/2016,26.30069984,28.06999969,26.30069984,0,Called,0,0.515699997,0.515699997,0,0.515699997,5.16E-05,0,200,200,0,200,CNC
581.4798585,14/11/2016,17.19750023,14/12/2016,16.03499985,16.03499985,17.54145023,0,Not Called,0,-1.162500381,0,-1.162500381,-1.162500381,-0.00011625,0,-675.9705573,0,-675.9705573,-675.9705573,DXCM
74.65445148,14/12/2016,133.9504852,17/01/2017,136.6294949,138.6780243,136.6294949,0,Called,0,2.679009705,2.679009705,0,2.679009705,0.000267901,0,200,200,0,200,MCK
623.6358026,14/12/2016,16.03499985,17/01/2017,16.35569984,21.37249947,16.35569984,0,Called,0,0.320699997,0.320699997,0,0.320699997,3.21E-05,0,200,200,0,200,DXCM
4209.264568,14/12/2016,2.375711918,17/01/2017,2.423226156,2.490494728,2.423226156,0,Called,0,0.047514238,0.047514238,0,0.047514238,4.75E-06,0,200,200,0,200,NVDA
8333.333002,14/12/2016,1.200000048,17/01/2017,1.224000049,1.649999976,1.224000049,0,Called,0,0.024000001,0.024000001,0,0.024000001,2.40E-06,0,200,200,0,200,ENPH
356.2522304,14/12/2016,28.06999969,17/01/2017,28.63139969,31.54000092,28.63139969,0,Called,0,0.561399994,0.561399994,0,0.561399994,5.61E-05,0,200,200,0,200,CNC
6060.606148,17/01/2017,1.649999976,15/02/2017,1.600000024,1.600000024,1.682999976,0,Not Called,0,-0.049999952,0,-0.049999952,-0.049999952,-5.00E-06,0,-303.0300184,0,-303.0300184,-303.0300184,ENPH
467.8909931,17/01/2017,21.37249947,15/02/2017,20.81500053,20.81500053,21.79994946,0,Not Called,0,-0.557498932,0,-0.557498932,-0.557498932,-5.57E-05,0,-260.8487289,0,-260.8487289,-260.8487289,DXCM
123.4720368,17/01/2017,80.98999786,15/02/2017,82.60979782,87.05999756,82.60979782,0,Called,0,1.619799957,1.619799957,0,1.619799957,0.00016198,0,200,200,0,200,WDAY
1018.329971,17/01/2017,9.819999695,15/02/2017,10.01639969,13.30000019,10.01639969,0,Called,0,0.196399994,0.196399994,0,0.196399994,1.96E-05,0,200,200,0,200,AMD
90.69807737,17/01/2017,110.2559204,15/02/2017,112.4610388,118.0790024,112.4610388,0,Called,0,2.205118408,2.205118408,0,2.205118408,0.000220512,0,200,200,0,200,UHS
6249.999907,15/02/2017,1.600000024,17/03/2017,1.399999976,1.399999976,1.632000024,0,Not Called,0,-0.200000048,0,-0.200000048,-0.200000048,-2.00E-05,0,-1250.000279,0,-1250.000279,-1250.000279,ENPH
480.4227597,15/02/2017,20.81500053,17/03/2017,19.72249985,19.72249985,21.23130054,0,Not Called,0,-1.092500687,0,-1.092500687,-1.092500687,-0.00010925,0,-524.8621949,0,-524.8621949,-524.8621949,DXCM
708.124288,15/02/2017,14.12181473,17/03/2017,14.03733063,14.03733063,14.40425102,0,Not Called,0,-0.0844841,0,-0.0844841,-0.0844841,-8.45E-06,0,-59.82524341,0,-59.82524341,-59.82524341,CSX
1138.303947,15/02/2017,8.784999847,17/03/2017,8.960699844,9.101667404,8.960699844,0,Called,0,0.175699997,0.175699997,0,0.175699997,1.76E-05,0,200,200,0,200,DECK
751.8796885,15/02/2017,13.30000019,17/03/2017,13.48999977,13.48999977,13.56600019,0,Not Called,0,0.18999958,0,0.18999958,0.18999958,1.90E-05,0,142.8568253,0,142.8568253,142.8568253,AMD
7142.857264,17/03/2017,1.399999976,18/04/2017,1.25999999,1.25999999,1.427999976,0,Not Called,0,-0.139999986,0,-0.139999986,-0.139999986,-1.40E-05,0,-999.9999149,0,-999.9999149,-999.9999149,ENPH
507.0351161,17/03/2017,19.72249985,18/04/2017,18.44000053,18.44000053,20.11694984,0,Not Called,0,-1.282499313,0,-1.282499313,-1.282499313,-0.00012825,0,-650.2721883,0,-650.2721883,-650.2721883,DXCM
712.3861556,17/03/2017,14.03733063,18/04/2017,13.96247578,13.96247578,14.31807724,0,Not Called,0,-0.074854851,0,-0.074854851,-0.074854851,-7.49E-06,0,-53.32555936,0,-53.32555936,-53.32555936,CSX
741.2898569,17/03/2017,13.48999977,18/04/2017,12.94999981,12.94999981,13.75979977,0,Not Called,0,-0.539999962,0,-0.539999962,-0.539999962,-5.40E-05,0,-400.2964945,0,-400.2964945,-400.2964945,AMD
518.0899859,17/03/2017,19.30166626,18/04/2017,18.18166733,18.18166733,19.68769958,0,Not Called,0,-1.119998932,0,-1.119998932,-1.119998932,-0.000112,0,-580.2602308,0,-580.2602308,-580.2602308,PANW
7936.507997,18/04/2017,1.25999999,17/05/2017,0.709999979,0.709999979,1.28519999,0,Not Called,0,-0.550000012,0,-0.550000012,-0.550000012,-5.50E-05,0,-4365.079493,0,-4365.079493,-4365.079493,ENPH
542.2993335,18/04/2017,18.44000053,17/05/2017,17.01250076,17.01250076,18.80880054,0,Not Called,0,-1.427499771,0,-1.427499771,-1.427499771,-0.00014275,0,-774.1321745,0,-774.1321745,-774.1321745,DXCM
716.2053607,18/04/2017,13.96247578,17/05/2017,14.24172529,14.81286144,14.24172529,0,Called,0,0.279249516,0.279249516,0,0.279249516,2.79E-05,0,200,200,0,200,CSX
